query,answer
What was the main point of criticism against President Trump's New Year's tweet?,The main point of criticism against President Trump's New Year's tweet was that his lack of decency did not allow him to rise above the gutter long enough to wish the American citizens a happy new year.
"What prompted the Russia investigation, according to documents obtained by the New York Times?","The Christopher Steele-dossier did not prompt the Russia investigation, according to documents obtained by the New York Times. Former Trump campaign adviser George Papadopoulos was drunk in a wine bar when he revealed knowledge of Russian opposition research on Hillary Clinton."
What was the tweet from former Sheriff David Clarke in response to the email scandal?,"""I am UNINTIMIDATED by lib media attempts to smear and discredit me with their FAKE NEWS reports designed to silence me. I will continue to poke them in the eye with a sharp stick and bitch slap these scum bags til they get it. I have been attacked by better people than them #MAGA"""
How many rounds of golf has Donald Trump played?,71 rounds of golf including today's.
What did Pope Francis use as an analogy in his Christmas Day message?,Pope Francis used Jesus for which there was no place in the inn as an analogy.
What was the name of the woman who shared a graphic photo of her son on Facebook?,Angela Williams
What was the Politifact rating of Donald Trump's July tweet regarding Andrew McCabe?,Mostly False
What document did Stephen Miller hand to Donald Trump during a Cabinet meeting in June?,"The document listed how many visas had been issued this year, and included 2,500 from Afghanistan, 15,000 from Haiti, and 40,000 from Nigeria."
"According to the document, what did former CIA Director John O. Brennan take to Donald Trump's favorite platform to express his opinion regarding Trump's autocratic antics?","Former CIA Director John O. Brennan took to Twitter to blast Trump's decision and to express the opinion that Trump expects blind loyalty and subservience from everyone, qualities usually found in narcissistic, vengeful autocrats."
What is the name of the pro-Trump ad released on Christmas Day?,"The ad is called ""Thank You, President Trump""."
